Ref,Val,Package,PosX,PosY,Rot,Side
"C1","0.1µF","C_0603_1608Metric",124.925000,-112.600000,0.000000,top
"C2","0.1µF","C_0603_1608Metric",127.860000,-110.270000,180.000000,top
"C3","2.2nF","C_0603_1608Metric",125.650000,-105.600000,0.000000,top
"C4","10nF","C_0603_1608Metric",121.650000,-112.600000,180.000000,top
"C5","0.1µF","C_0603_1608Metric",87.400000,-104.875000,90.000000,top
"C6","47µF","CP_Elec_6.3x7.7",91.600000,-108.900000,0.000000,top
"C7","0.1µF","C_0603_1608Metric",96.000000,-104.675000,90.000000,top
"C8","47µF","CP_Elec_6.3x7.7",101.100000,-108.900000,0.000000,top
"J1","Conn_01x09","PinSocket_1x09_P2.54mm_Vertical",104.860000,-96.470000,90.000000,top
"J2","Screw_Terminal_01x02","TerminalBlock_Xinya_XY308-2.54-2P_1x02_P2.54mm_Horizontal",88.800000,-117.600000,0.000000,top
"J3","Screw_Terminal_01x02","TerminalBlock_Xinya_XY308-2.54-2P_1x02_P2.54mm_Horizontal",95.400000,-117.600000,0.000000,top
"J4","Screw_Terminal_01x02","TerminalBlock_Xinya_XY308-2.54-2P_1x02_P2.54mm_Horizontal",102.040000,-117.600000,0.000000,top
"R1","4.7kOm","R_0603_1608Metric",121.600000,-104.895000,-90.000000,top
"R2","4.7kOm","R_0603_1608Metric",123.100000,-104.895000,-90.000000,top
"R3","30kOm","R_0603_1608Metric",90.000000,-96.000000,0.000000,top
"R4","30kOm","R_0603_1608Metric",98.400000,-95.625000,0.000000,top
"U1","MPU-6050","InvenSense_QFN-24_4x4mm_P0.5mm",123.150000,-109.050000,0.000000,top
"U2","DRV8871DDA","Texas_HTSOP-8-1EP_3.9x4.9mm_P1.27mm_EP2.95x4.9mm_Mask2.4x3.1mm_ThermalVias",91.100000,-101.000000,-90.000000,top
"U3","DRV8871DDA","Texas_HTSOP-8-1EP_3.9x4.9mm_P1.27mm_EP2.95x4.9mm_Mask2.4x3.1mm_ThermalVias",99.500000,-100.650000,-90.000000,top
